Rainfall - (MM), Year, Statistics, Country, ISO3
13.7, 1926, Jan Average, Thailand, THA
9.9, 1926, Feb Average, Thailand, THA
43.9, 1926, Mar Average, Thailand, THA
39.9, 1926, Apr Average, Thailand, THA
115.2, 1926, May Average, Thailand, THA
219.9, 1926, Jun Average, Thailand, THA
212.4, 1926, Jul Average, Thailand, THA
301.9, 1926, Aug Average, Thailand, THA
286.2, 1926, Sep Average, Thailand, THA
211.6, 1926, Oct Average, Thailand, THA
80.2, 1926, Nov Average, Thailand, THA
70.8, 1926, Dec Average, Thailand, THA
21.2, 1927, Jan Average, Thailand, THA
41.5, 1927, Feb Average, Thailand, THA
32.1, 1927, Mar Average, Thailand, THA
143.5, 1927, Apr Average, Thailand, THA
246.8, 1927, May Average, Thailand, THA
210.0, 1927, Jun Average, Thailand, THA
242.9, 1927, Jul Average, Thailand, THA
183.2, 1927, Aug Average, Thailand, THA
211.4, 1927, Sep Average, Thailand, THA
177.4, 1927, Oct Average, Thailand, THA
44.5, 1927, Nov Average, Thailand, THA
19.9, 1927, Dec Average, Thailand, THA
12.5, 1928, Jan Average, Thailand, THA
47.0, 1928, Feb Average, Thailand, THA
26.7, 1928, Mar Average, Thailand, THA
152.0, 1928, Apr Average, Thailand, THA
191.0, 1928, May Average, Thailand, THA
204.3, 1928, Jun Average, Thailand, THA
174.9, 1928, Jul Average, Thailand, THA
165.1, 1928, Aug Average, Thailand, THA
232.5, 1928, Sep Average, Thailand, THA
129.6, 1928, Oct Average, Thailand, THA
48.0, 1928, Nov Average, Thailand, THA
37.8, 1928, Dec Average, Thailand, THA
9.5, 1929, Jan Average, Thailand, THA
24.7, 1929, Feb Average, Thailand, THA
59.4, 1929, Mar Average, Thailand, THA
106.5, 1929, Apr Average, Thailand, THA
157.3, 1929, May Average, Thailand, THA
184.6, 1929, Jun Average, Thailand, THA
200.6, 1929, Jul Average, Thailand, THA
216.4, 1929, Aug Average, Thailand, THA
216.9, 1929, Sep Average, Thailand, THA
134.2, 1929, Oct Average, Thailand, THA
44.8, 1929, Nov Average, Thailand, THA
13.6, 1929, Dec Average, Thailand, THA
15.5, 1930, Jan Average, Thailand, THA
8.5, 1930, Feb Average, Thailand, THA
26.2, 1930, Mar Average, Thailand, THA
55.0, 1930, Apr Average, Thailand, THA
182.0, 1930, May Average, Thailand, THA
202.4, 1930, Jun Average, Thailand, THA
212.9, 1930, Jul Average, Thailand, THA
205.8, 1930, Aug Average, Thailand, THA
293.5, 1930, Sep Average, Thailand, THA
89.1, 1930, Oct Average, Thailand, THA
77.9, 1930, Nov Average, Thailand, THA
34.0, 1930, Dec Average, Thailand, THA
8.1, 1931, Jan Average, Thailand, THA
22.7, 1931, Feb Average, Thailand, THA
20.3, 1931, Mar Average, Thailand, THA
69.6, 1931, Apr Average, Thailand, THA
116.5, 1931, May Average, Thailand, THA
199.9, 1931, Jun Average, Thailand, THA
203.4, 1931, Jul Average, Thailand, THA
247.3, 1931, Aug Average, Thailand, THA
275.2, 1931, Sep Average, Thailand, THA
152.9, 1931, Oct Average, Thailand, THA
37.0, 1931, Nov Average, Thailand, THA
41.7, 1931, Dec Average, Thailand, THA
15.7, 1932, Jan Average, Thailand, THA
10.3, 1932, Feb Average, Thailand, THA
18.3, 1932, Mar Average, Thailand, THA
105.2, 1932, Apr Average, Thailand, THA
159.5, 1932, May Average, Thailand, THA
157.5, 1932, Jun Average, Thailand, THA
265.7, 1932, Jul Average, Thailand, THA
176.1, 1932, Aug Average, Thailand, THA
279.1, 1932, Sep Average, Thailand, THA
219.2, 1932, Oct Average, Thailand, THA
75.0, 1932, Nov Average, Thailand, THA
22.8, 1932, Dec Average, Thailand, THA
12.6, 1933, Jan Average, Thailand, THA
21.1, 1933, Feb Average, Thailand, THA
13.7, 1933, Mar Average, Thailand, THA
78.3, 1933, Apr Average, Thailand, THA
158.3, 1933, May Average, Thailand, THA
171.1, 1933, Jun Average, Thailand, THA
305.6, 1933, Jul Average, Thailand, THA
221.4, 1933, Aug Average, Thailand, THA
281.2, 1933, Sep Average, Thailand, THA
139.4, 1933, Oct Average, Thailand, THA
80.0, 1933, Nov Average, Thailand, THA
27.8, 1933, Dec Average, Thailand, THA
13.1, 1934, Jan Average, Thailand, THA
14.0, 1934, Feb Average, Thailand, THA
47.0, 1934, Mar Average, Thailand, THA
93.9, 1934, Apr Average, Thailand, THA
137.4, 1934, May Average, Thailand, THA
217.4, 1934, Jun Average, Thailand, THA
244.8, 1934, Jul Average, Thailand, THA
297.9, 1934, Aug Average, Thailand, THA
290.9, 1934, Sep Average, Thailand, THA
135.1, 1934, Oct Average, Thailand, THA
98.5, 1934, Nov Average, Thailand, THA
20.8, 1934, Dec Average, Thailand, THA
35.5, 1935, Jan Average, Thailand, THA
34.0, 1935, Feb Average, Thailand, THA
34.6, 1935, Mar Average, Thailand, THA
94.6, 1935, Apr Average, Thailand, THA
213.8, 1935, May Average, Thailand, THA
191.1, 1935, Jun Average, Thailand, THA
234.1, 1935, Jul Average, Thailand, THA
204.7, 1935, Aug Average, Thailand, THA
310.7, 1935, Sep Average, Thailand, THA
222.4, 1935, Oct Average, Thailand, THA
81.7, 1935, Nov Average, Thailand, THA
56.0, 1935, Dec Average, Thailand, THA
12.1, 1936, Jan Average, Thailand, THA
20.8, 1936, Feb Average, Thailand, THA
26.9, 1936, Mar Average, Thailand, THA
49.1, 1936, Apr Average, Thailand, THA
207.1, 1936, May Average, Thailand, THA
226.2, 1936, Jun Average, Thailand, THA
