Date,61T,54T,,,,,,,,,,,,,,,,,,,,,
24/11/2014,N/A,57,,,,,,,,,,,,,,,,,,,,,
25/11/2014,33,59,,,,,,,,,,,,,,,,,,,,,
26/11/2014,33,57,,,,,,,,,,,,,,,,,,,,,
27/11/2014,27,42,,,,,,,,,,,,,,,,,,,,,
28/11/2014,49,55,,,,,,,,,,,,,,,,,,,,,
29/11/2014,53,76,,,,,,,,,,,,,,,,,,,,,
30/11/2014,44,61,,,,,,,,,,,,,,,,,,,,,
01/12/2014,26,44,,,,,,,,,,,,,,,,,,,,,
02/12/2014,21,44,,,,,,,,,,,,,,,,,,,,,
03/12/2014,16,39,,,,,,,,,,,,,,,,,,,,,
04/12/2014,25,51,,,,,,,,,,,,,,,,,,,,,
05/12/2014,13,31,,,,,,,,,,,,,,,,,,,,,
06/12/2014,23,39,,,,,,,,,,,,,,,,,,,,,
07/12/2014,23,40,,,,,,,,,,,,,,,,,,,,,
08/12/2014,23,43,,,,,,,,,,,,,,,,,,,,,
09/12/2014,17,35,,,,,,,,,,,,,,,,,,,,,
10/12/2014,24,39,,,,,,,,,,,,,,,,,,,,,
11/12/2014,19,36,,,,,,,,,,,,,,,,,,,,,
12/12/2014,27,43,,,,,,,,,,,,,,,,,,,,,
13/12/2014,20,40,,,,,,,,,,,,,,,,,,,,,
14/12/2014,28,44,,,,,,,,,,,,,,,,,,,,,
15/12/2014,38,63,,,,,,,,,,,,,,,,,,,,,
16/12/2014,41,51,,,,,,,,,,,,,,,,,,,,,
17/12/2014,28,44,,,,,,,,,,,,,,,,,,,,,
18/12/2014,36,56,,,,,,,,,,,,,,,,,,,,,
19/12/2014,41,62,,,,,,,,,,,,,,,,,,,,,
20/12/2014,51,71,,,,,,,,,,,,,,,,,,,,,
21/12/2014,46,68,,,,,,,,,,,,,,,,,,,,,
22/12/2014,43,57,,,,,,,,,,,,,,,,,,,,,
23/12/2014,60,79,,,,,,,,,,,,,,,,,,,,,
24/12/2014,65,87,,,,,,,,,,,,,,,,,,,,,
25/12/2014,51,70,,,,,,,,,,,,,,,,,,,,,
26/12/2014,50,70,,,,,,,,,,,,,,,,,,,,,
27/12/2014,39,64,,,,,,,,,,,,,,,,,,,,,
28/12/2014,20,29,,,,,,,,,,,,,,,,,,,,,
29/12/2014,18,28,,,,,,,,,,,,,,,,,,,,,
30/12/2014,39,54,,,,,,,,,,,,,,,,,,,,,
31/12/2014,48,59,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
