Date,54T,,,,,,,,,,,,,,,,,,
19/12/2012,59,,,,,,,,,,,,,,,,,,
20/12/2012,46,,,,,,,,,,,,,,,,,,
21/12/2012,52,,,,,,,,,,,,,,,,,,
22/12/2012,59,,,,,,,,,,,,,,,,,,
23/12/2012,38,,,,,,,,,,,,,,,,,,
24/12/2012,33,,,,,,,,,,,,,,,,,,
25/12/2012,55,,,,,,,,,,,,,,,,,,
26/12/2012,70,,,,,,,,,,,,,,,,,,
27/12/2012,67,,,,,,,,,,,,,,,,,,
28/12/2012,61,,,,,,,,,,,,,,,,,,
29/12/2012,47,,,,,,,,,,,,,,,,,,
30/12/2012,45,,,,,,,,,,,,,,,,,,
31/12/2012,26,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
